FK_ID,Date,ID,Sent,R.Sent,Bounce,Total,Data.Interval,Server,Status,Offset,Limit,Server_Tab,Ips
"25715827","04/14 (22:21:20)","134734064","98609","98607","0","98674","(274246 to 372920)","s_cmh9_5689","completed","168000","405000","s_cmh9_5689",",,23.231.25.47,,23.231.25.49,,23.231.25.51,,23.231.25.52,,23.231.25.53,,23.231.25.54,,23.231.25.55,,23.231.25.56,,23.231.25.57,,23.231.25.58,,23.231.25.59,,23.231.25.61,,23.231.25.62,,,"
"25714845","04/14 (21:53:18)","134732608","168000","60732","0","168000","(0 to 168000)","s_cmh9_5702","completed","0","168000","s_cmh9_5702",",,89.116.64.219,,89.116.64.220,,89.116.64.240,,89.117.12.8,,89.117.12.9,,89.117.12.14,,89.117.12.18,,89.117.12.21,,89.117.12.26,,89.117.12.28,,89.117.12.45,,89.117.12.48,,,"
"25714740","04/14 (21:48:17)","134732474","5024","5026","0","5084","(367836 to 372920)","s_cmh11_1341","completed","347500","127500","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25714740","04/14 (21:48:17)","134732475","10168","10173","0","10168","(357668 to 367836)","s_cmh11_1343","completed","347500","127500","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25714740","04/14 (21:48:17)","134732476","10168","10174","0","10168","(347500 to 357668)","s_cmh11_1372","completed","347500","127500","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25714518","04/14 (21:41:20)","134732156","87584","87584","0","87584","(204000 to 291584)","s_cmh9_5687","completed","204000","378000","s_cmh9_5687",",,91.223.3.150,,91.223.3.186,,91.223.3.187,,91.223.3.189,,91.223.3.194,,91.223.3.195,,91.223.3.196,,91.223.3.197,,91.223.3.198,,91.223.3.199,,91.223.3.200,,91.223.3.204,,91.223.3.208,,91.223.3.209,,,"
"25714518","04/14 (21:41:20)","134732157","81276","81278","0","81336","(291584 to 372920)","s_cmh9_5689","completed","204000","378000","s_cmh9_5689",",,23.231.25.47,,23.231.25.49,,23.231.25.51,,23.231.25.52,,23.231.25.53,,23.231.25.54,,23.231.25.55,,23.231.25.56,,23.231.25.57,,23.231.25.58,,23.231.25.59,,23.231.25.61,,23.231.25.62,,,"
"25713498","04/14 (21:13:19)","134730783","204000","86996","0","204000","(0 to 204000)","s_cmh9_5702","completed","0","204000","s_cmh9_5702",",,89.116.64.219,,89.116.64.220,,89.116.64.240,,89.117.12.8,,89.117.12.9,,89.117.12.14,,89.117.12.18,,89.117.12.21,,89.117.12.26,,89.117.12.28,,89.117.12.45,,89.117.12.48,,,"
"25713390","04/14 (21:11:18)","134730608","25000","25000","0","25000","(222500 to 247500)","s_cmh11_1341","completed","222500","125000","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25713390","04/14 (21:11:18)","134730609","50000","49999","0","50000","(247500 to 297500)","s_cmh11_1343","completed","222500","125000","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25713390","04/14 (21:11:18)","134730610","50000","50003","0","50000","(297500 to 347500)","s_cmh11_1372","completed","222500","125000","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25712850","04/14 (20:59:16)","134729875","49210","48727","0","49210","(278000 to 327210)","s_cmh9_5687","completed","278000","351000","s_cmh9_5687",",,91.223.3.150,,91.223.3.186,,91.223.3.187,,91.223.3.189,,91.223.3.194,,91.223.3.195,,91.223.3.196,,91.223.3.197,,91.223.3.198,,91.223.3.199,,91.223.3.200,,91.223.3.204,,91.223.3.208,,91.223.3.209,,,"
"25712850","04/14 (20:59:16)","134729876","45664","45291","0","45710","(327210 to 372920)","s_cmh9_5689","completed","278000","351000","s_cmh9_5689",",,23.231.25.47,,23.231.25.49,,23.231.25.51,,23.231.25.52,,23.231.25.53,,23.231.25.54,,23.231.25.55,,23.231.25.56,,23.231.25.57,,23.231.25.58,,23.231.25.59,,23.231.25.61,,23.231.25.62,,,"
"25710677","04/14 (19:59:18)","134726803","84000","8253","0","84000","(194000 to 278000)","s_cmh9_5702","completed","194000","84000","s_cmh9_5702",",,89.116.64.219,,89.116.64.220,,89.116.64.240,,89.117.12.14,,,"
"25709559","04/14 (19:29:18)","134725207","80000","36754","0","80000","(114000 to 194000)","s_cmh9_5702","completed","114000","80000","s_cmh9_5702",",,89.116.64.219,,89.116.64.220,,89.116.64.240,,89.117.12.14,,,"
"25708333","04/14 (18:59:18)","134723514","114000","96982","0","114000","(0 to 114000)","s_cmh9_5702","completed","0","114000","s_cmh9_5702",",,89.116.64.219,,89.116.64.220,,89.116.64.240,,89.117.12.14,,89.117.12.18,,89.117.12.28,,,"
"25708277","04/14 (18:57:17)","134723454","22500","22503","0","22500","(155000 to 177500)","s_cmh11_1341","completed","110000","112500","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25708277","04/14 (18:57:17)","134723455","45000","45006","0","45000","(110000 to 155000)","s_cmh11_1343","completed","110000","112500","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25708277","04/14 (18:57:17)","134723456","45000","44999","0","45000","(177500 to 222500)","s_cmh11_1372","completed","110000","112500","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25707115","04/14 (18:29:18)","134721904","39874","39859","0","39920","(333000 to 372920)","s_cmh9_5702","completed","333000","108000","s_cmh9_5702",",,89.116.64.219,,89.116.64.220,,89.116.64.240,,89.117.12.14,,89.117.12.18,,89.117.12.28,,,"
"25706796","04/14 (18:21:17)","134721421","22000","22004","0","22000","(88000 to 110000)","s_cmh11_1341","completed","0","110000","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25706796","04/14 (18:21:17)","134721422","44000","44008","0","44000","(44000 to 88000)","s_cmh11_1343","completed","0","110000","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25706796","04/14 (18:21:17)","134721423","44000","44006","0","44000","(0 to 44000)","s_cmh11_1372","completed","0","110000","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25705684","04/14 (17:59:18)","134719892","102000","101834","0","102000","(231000 to 333000)","s_cmh9_5702","completed","231000","102000","s_cmh9_5702",",,89.116.64.219,,89.116.64.220,,89.116.64.240,,89.117.12.14,,89.117.12.18,,89.117.12.28,,,"
"25705263","04/14 (17:45:18)","134719312","13038","13033","0","13084","(359836 to 372920)","s_cmh11_1341","completed","307500","107500","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25705263","04/14 (17:45:18)","134719313","26168","26165","0","26168","(307500 to 333668)","s_cmh11_1343","completed","307500","107500","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25705263","04/14 (17:45:18)","134719314","26168","26156","0","26168","(333668 to 359836)","s_cmh11_1372","completed","307500","107500","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25704405","04/14 (17:29:18)","134718093","96000","95865","0","96000","(135000 to 231000)","s_cmh9_5702","completed","135000","96000","s_cmh9_5702",",,89.116.64.219,,89.116.64.220,,89.116.64.240,,89.117.12.14,,89.117.12.18,,89.117.12.28,,,"
"25703713","04/14 (17:09:17)","134717070","21000","21002","0","21000","(244500 to 265500)","s_cmh11_1341","completed","202500","105000","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25703713","04/14 (17:09:17)","134717071","42000","42003","0","42000","(202500 to 244500)","s_cmh11_1343","completed","202500","105000","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25703713","04/14 (17:09:17)","134717072","42000","42003","0","42000","(265500 to 307500)","s_cmh11_1372","completed","202500","105000","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25703577","04/14 (17:07:18)","134716907","135000","134604","0","135000","(0 to 135000)","s_cmh9_5702","completed","0","135000","s_cmh9_5702",",,89.116.64.219,,89.116.64.220,,89.116.64.240,,89.117.12.8,,89.117.12.9,,89.117.12.14,,89.117.12.18,,89.117.12.26,,89.117.12.28,,,"
"25703151","04/14 (16:57:20)","134716332","106217","106214","0","106263","(266657 to 372920)","s_cmh9_5687","completed","168000","405000","s_cmh9_5687",",,91.223.3.150,,91.223.3.186,,91.223.3.187,,91.223.3.189,,91.223.3.194,,91.223.3.195,,91.223.3.196,,91.223.3.197,,91.223.3.198,,91.223.3.199,,91.223.3.200,,91.223.3.204,,91.223.3.208,,91.223.3.209,,,"
"25703151","04/14 (16:57:20)","134716333","98657","98653","0","98657","(168000 to 266657)","s_cmh9_5689","completed","168000","405000","s_cmh9_5689",",,23.231.25.47,,23.231.25.49,,23.231.25.51,,23.231.25.52,,23.231.25.53,,23.231.25.54,,23.231.25.55,,23.231.25.56,,23.231.25.57,,23.231.25.58,,23.231.25.59,,23.231.25.61,,23.231.25.62,,,"
"25703148","04/14 (16:57:17)","134716329","54000","18017","0","54000","(288000 to 342000)","s_cmh2_6101","completed","288000","54000","s_cmh2_6101",",,107.6.171.227,,107.6.171.228,,107.6.171.230,,,"
"25702501","04/14 (16:37:18)","134715440","168000","137406","0","168000","(0 to 168000)","s_cmh9_5702","completed","0","168000","s_cmh9_5702",",,89.116.64.219,,89.116.64.220,,89.116.64.240,,89.117.12.8,,89.117.12.9,,89.117.12.14,,89.117.12.18,,89.117.12.21,,89.117.12.26,,89.117.12.28,,89.117.12.45,,89.117.12.48,,,"
"25702228","04/14 (16:33:17)","134715118","20500","20503","0","20500","(141000 to 161500)","s_cmh11_1341","completed","100000","102500","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25702228","04/14 (16:33:17)","134715119","41000","41003","0","41000","(100000 to 141000)","s_cmh11_1343","completed","100000","102500","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25702228","04/14 (16:33:17)","134715120","41000","41003","0","41000","(161500 to 202500)","s_cmh11_1372","completed","100000","102500","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25701906","04/14 (16:27:20)","134714662","112476","112473","0","112476","(156000 to 268476)","s_cmh9_5687","completed","156000","378000","s_cmh9_5687",",,91.223.3.150,,91.223.3.186,,91.223.3.187,,91.223.3.189,,91.223.3.194,,91.223.3.195,,91.223.3.196,,91.223.3.197,,91.223.3.198,,91.223.3.199,,91.223.3.200,,91.223.3.204,,91.223.3.208,,91.223.3.209,,,"
"25701906","04/14 (16:27:20)","134714663","104402","104400","0","104444","(268476 to 372920)","s_cmh9_5689","completed","156000","378000","s_cmh9_5689",",,23.231.25.47,,23.231.25.49,,23.231.25.51,,23.231.25.52,,23.231.25.53,,23.231.25.54,,23.231.25.55,,23.231.25.56,,23.231.25.57,,23.231.25.58,,23.231.25.59,,23.231.25.61,,23.231.25.62,,,"
"25701904","04/14 (16:27:17)","134714660","54000","18018","0","54000","(234000 to 288000)","s_cmh2_6101","completed","234000","54000","s_cmh2_6101",",,107.6.171.227,,107.6.171.228,,107.6.171.230,,,"
"25701129","04/14 (16:07:19)","134713541","156000","149391","0","156000","(0 to 156000)","s_cmh9_5702","completed","0","156000","s_cmh9_5702",",,89.116.64.219,,89.116.64.220,,89.116.64.240,,89.117.12.8,,89.117.12.9,,89.117.12.14,,89.117.12.18,,89.117.12.21,,89.117.12.26,,89.117.12.28,,89.117.12.45,,89.117.12.48,,,"
"25700632","04/14 (15:57:20)","134712846","149778","149773","0","149820","(223100 to 372920)","s_cmh9_5687","completed","84000","351000","s_cmh9_5687",",,91.223.3.150,,91.223.3.186,,91.223.3.187,,91.223.3.189,,91.223.3.194,,91.223.3.195,,91.223.3.196,,91.223.3.197,,91.223.3.198,,91.223.3.199,,91.223.3.200,,91.223.3.204,,91.223.3.208,,91.223.3.209,,,"
"25700632","04/14 (15:57:20)","134712847","139100","138773","0","139100","(84000 to 223100)","s_cmh9_5689","completed","84000","351000","s_cmh9_5689",",,23.231.25.47,,23.231.25.49,,23.231.25.51,,23.231.25.52,,23.231.25.53,,23.231.25.54,,23.231.25.55,,23.231.25.56,,23.231.25.57,,23.231.25.58,,23.231.25.59,,23.231.25.61,,23.231.25.62,,,"
"25700630","04/14 (15:57:17)","134712842","20000","20004","0","20000","(0 to 20000)","s_cmh11_1341","completed","0","100000","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25700630","04/14 (15:57:17)","134712843","40000","40006","0","40000","(20000 to 60000)","s_cmh11_1343","completed","0","100000","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25700630","04/14 (15:57:17)","134712844","40000","40008","0","40000","(60000 to 100000)","s_cmh11_1372","completed","0","100000","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25700629","04/14 (15:57:17)","134712841","105000","21482","0","105000","(129000 to 234000)","s_cmh2_6101","completed","129000","105000","s_cmh2_6101",",,107.6.171.226,,107.6.171.227,,107.6.171.228,,107.6.171.229,,107.6.171.230,,,"
"25689798","04/14 (11:23:17)","134697346","7250","0","0","7250","(7250 to 14500)","s_cmh8_3656","completed","7250","7250","s_cmh8_3656",",,5.135.75.181,,,"
"25689560","04/14 (11:14:17)","134697011","3625","9","0","3625","(0 to 3625)","s_cmh8_3583","completed","0","7250","s_cmh8_3583",",,142.147.96.123,,,"
"25689560","04/14 (11:14:17)","134697012","3625","0","0","3625","(3625 to 7250)","s_cmh8_3617","completed","0","7250","s_cmh8_3617",",,138.226.244.74,,,"
"25689231","04/14 (11:07:17)","134696577","1540","507","0","1540","(369840 to 371380)","s_cmh8_3583","completed","369840","6000","s_cmh8_3583",",,142.147.96.123,,,"
"25689231","04/14 (11:07:17)","134696578","1502","800","0","1540","(371380 to 372920)","s_cmh8_3617","completed","369840","6000","s_cmh8_3617",",,138.226.244.74,,,"
"25688990","04/14 (11:02:20)","134696222","7500","7499","0","7500","(362340 to 369840)","s_cmh8_3583","completed","354840","15000","s_cmh8_3583",",,142.147.96.123,,,"
"25688990","04/14 (11:02:20)","134696223","7500","7502","0","7500","(354840 to 362340)","s_cmh8_3617","completed","354840","15000","s_cmh8_3617",",,138.226.244.74,,,"
"25688831","04/14 (10:55:17)","134695985","7500","7504","0","7500","(339840 to 347340)","s_cmh8_3583","completed","339840","15000","s_cmh8_3583",",,142.147.96.125,,,"
"25688831","04/14 (10:55:17)","134695986","7500","7504","0","7500","(347340 to 354840)","s_cmh8_3617","completed","339840","15000","s_cmh8_3617",",,138.226.244.76,,,"
"25688625","04/14 (10:47:17)","134695663","7250","19","0","7250","(325340 to 332590)","s_cmh8_3617","completed","325340","14500","s_cmh8_3617",",,138.226.244.75,,,"
"25688625","04/14 (10:47:17)","134695664","7250","0","0","7250","(332590 to 339840)","s_cmh8_3656","completed","325340","14500","s_cmh8_3656",",,5.135.75.181,,,"
"25688424","04/14 (10:40:17)","134695405","7250","1123","0","7250","(318090 to 325340)","s_cmh8_3617","completed","318090","7250","s_cmh8_3617",",,138.226.244.75,,,"
"25688057","04/14 (10:33:17)","134694914","6000","103","0","6000","(312090 to 318090)","s_cmh8_3617","completed","312090","6000","s_cmh8_3617",",,138.226.244.77,,,"
"25687787","04/14 (10:27:36)","134694541","7500","7501","0","7500","(289590 to 297090)","s_cmh8_3583","completed","289590","22500","s_cmh8_3583",",,142.147.96.123,,,"
"25687787","04/14 (10:27:36)","134694542","7500","7501","0","7500","(297090 to 304590)","s_cmh8_3617","completed","289590","22500","s_cmh8_3617",",,138.226.244.74,,,"
"25687787","04/14 (10:27:36)","134694543","7500","774","0","7500","(304590 to 312090)","s_cmh8_3656","completed","289590","22500","s_cmh8_3656",",,5.135.75.177,,,"
"25687595","04/14 (10:19:17)","134694266","7500","7502","0","7500","(274590 to 282090)","s_cmh8_3583","completed","267090","22500","s_cmh8_3583",",,142.147.96.125,,,"
"25687595","04/14 (10:19:17)","134694267","7500","7504","0","7500","(282090 to 289590)","s_cmh8_3617","completed","267090","22500","s_cmh8_3617",",,138.226.244.76,,,"
"25687595","04/14 (10:19:17)","134694268","7500","7504","0","7500","(267090 to 274590)","s_cmh8_3656","completed","267090","22500","s_cmh8_3656",",,5.135.75.179,,,"
"25687415","04/14 (10:11:17)","134694000","7250","4196","0","7250","(245340 to 252590)","s_cmh8_3583","completed","245340","21750","s_cmh8_3583",",,142.147.96.126,,,"
"25687415","04/14 (10:11:17)","134694001","7250","7254","0","7250","(259840 to 267090)","s_cmh8_3617","completed","245340","21750","s_cmh8_3617",",,138.226.244.75,,,"
"25687415","04/14 (10:11:17)","134694002","7250","0","0","7250","(252590 to 259840)","s_cmh8_3656","completed","245340","21750","s_cmh8_3656",",,5.135.75.181,,,"
"25687170","04/14 (10:04:17)","134693663","7250","1542","0","7250","(223590 to 230840)","s_cmh8_3583","completed","223590","21750","s_cmh8_3583",",,142.147.96.124,,,"
"25687170","04/14 (10:04:17)","134693664","7250","7252","0","7250","(230840 to 238090)","s_cmh8_3617","completed","223590","21750","s_cmh8_3617",",,138.226.244.75,,,"
"25687170","04/14 (10:04:17)","134693665","7250","1547","0","7250","(238090 to 245340)","s_cmh8_3656","completed","223590","21750","s_cmh8_3656",",,5.135.75.178,,,"
"25686996","04/14 (09:57:17)","134693352","7250","6770","0","7250","(209090 to 216340)","s_cmh8_3583","completed","201840","21750","s_cmh8_3583",",,142.147.96.126,,,"
"25686996","04/14 (09:57:17)","134693353","7250","7248","0","7250","(201840 to 209090)","s_cmh8_3617","completed","201840","21750","s_cmh8_3617",",,138.226.244.77,,,"
"25686996","04/14 (09:57:17)","134693354","7250","5368","0","7250","(216340 to 223590)","s_cmh8_3656","completed","201840","21750","s_cmh8_3656",",,5.135.75.180,,,"
"25686903","04/14 (09:50:17)","134693071","7250","7252","0","7250","(187340 to 194590)","s_cmh8_3583","completed","180090","21750","s_cmh8_3583",",,142.147.96.123,,,"
"25686903","04/14 (09:50:17)","134693072","7250","7252","0","7250","(194590 to 201840)","s_cmh8_3617","completed","180090","21750","s_cmh8_3617",",,138.226.244.74,,,"
"25686903","04/14 (09:50:17)","134693073","7250","7250","0","7250","(180090 to 187340)","s_cmh8_3656","completed","180090","21750","s_cmh8_3656",",,5.135.75.177,,,"
"25686800","04/14 (09:43:17)","134692921","7250","7254","0","7250","(165590 to 172840)","s_cmh8_3583","completed","158340","21750","s_cmh8_3583",",,142.147.96.125,,,"
"25686800","04/14 (09:43:17)","134692922","7250","7254","0","7250","(172840 to 180090)","s_cmh8_3617","completed","158340","21750","s_cmh8_3617",",,138.226.244.76,,,"
"25686800","04/14 (09:43:17)","134692923","7250","7254","0","7250","(158340 to 165590)","s_cmh8_3656","completed","158340","21750","s_cmh8_3656",",,5.135.75.179,,,"
"25686643","04/14 (09:35:18)","134692721","7000","7003","0","7000","(144340 to 151340)","s_cmh8_3583","completed","137340","21000","s_cmh8_3583",",,142.147.96.126,,,"
"25686643","04/14 (09:35:18)","134692722","7000","7004","0","7000","(151340 to 158340)","s_cmh8_3617","completed","137340","21000","s_cmh8_3617",",,138.226.244.75,,,"
"25686643","04/14 (09:35:18)","134692723","7000","0","0","7000","(137340 to 144340)","s_cmh8_3656","completed","137340","21000","s_cmh8_3656",",,5.135.75.181,,,"
"25686467","04/14 (09:28:17)","134692474","7000","7004","0","7000","(116340 to 123340)","s_cmh8_3583","completed","116340","21000","s_cmh8_3583",",,142.147.96.124,,,"
"25686467","04/14 (09:28:17)","134692475","7000","7002","0","7000","(123340 to 130340)","s_cmh8_3617","completed","116340","21000","s_cmh8_3617",",,138.226.244.75,,,"
"25686467","04/14 (09:28:17)","134692476","7000","5771","0","7000","(130340 to 137340)","s_cmh8_3656","completed","116340","21000","s_cmh8_3656",",,5.135.75.178,,,"
"25686371","04/14 (09:21:18)","134692319","7000","7002","0","7000","(109340 to 116340)","s_cmh8_3583","completed","95340","21000","s_cmh8_3583",",,142.147.96.126,,,"
"25686371","04/14 (09:21:18)","134692320","7000","7002","0","7000","(102340 to 109340)","s_cmh8_3617","completed","95340","21000","s_cmh8_3617",",,138.226.244.77,,,"
"25686371","04/14 (09:21:18)","134692321","7000","7002","0","7000","(95340 to 102340)","s_cmh8_3656","completed","95340","21000","s_cmh8_3656",",,5.135.75.180,,,"
"25686204","04/14 (09:14:17)","134692057","7000","7002","0","7000","(88340 to 95340)","s_cmh8_3656","completed","88340","7000","s_cmh8_3656",",,5.135.75.177,,,"
"25686072","04/14 (09:07:17)","134691891","7000","7004","0","7000","(74340 to 81340)","s_cmh8_3583","completed","74340","14000","s_cmh8_3583",",,142.147.96.125,,,"
"25686072","04/14 (09:07:17)","134691892","7000","7003","0","7000","(81340 to 88340)","s_cmh8_3617","completed","74340","14000","s_cmh8_3617",",,138.226.244.76,,,"
